Profile Summary
Generated on: 2022-02-09 10:50:03
Msec since Epoch: 1644403803214
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clEnqueueReadBuffer,2,251.979,0.605385,125.99,251.374,
clEnqueueWriteBuffer,3,163.668,1.93915,54.5561,158.737,
clWaitForEvents,3,120.77,0.053505,40.2568,120.657,
clCreateProgramWithBinary,1,45.9733,45.9733,45.9733,45.9733,
clCreateKernel,1,6.94375,6.94375,6.94375,6.94375,
clEnqueueTask,1,2.11111,2.11111,2.11111,2.11111,
clSetKernelArg,4,0.920172,0.064629,0.230043,0.676122,
clGetPlatformInfo,14,0.728532,0.046914,0.052038,0.076194,
clCreateContext,1,0.416691,0.416691,0.416691,0.416691,
clGetExtensionFunctionAddress,2,0.372516,0.16122,0.186258,0.211296,
clCreateBuffer,5,0.298191,0.053994,0.0596382,0.070518,
clReleaseMemObject,5,0.275442,0.050952,0.0550884,0.062364,
clGetEventProfilingInfo,2,0.126033,0.053562,0.0630165,0.072471,
clGetExtensionFunctionAddressForPlatform,2,0.12093,0.05688,0.060465,0.06405,
clBuildProgram,1,0.100542,0.100542,0.100542,0.100542,
clCreateCommandQueue,1,0.075768,0.075768,0.075768,0.075768,
clGetDeviceIDs,1,0.06414,0.06414,0.06414,0.06414,
clReleaseProgram,1,0.058905,0.058905,0.058905,0.058905,
clReleaseContext,1,0.058188,0.058188,0.058188,0.058188,
clReleaseCommandQueue,1,0.057942,0.057942,0.057942,0.057942,
clReleaseKernel,1,0.056202,0.056202,0.056202,0.056202,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
compute_matrices,1,49.1256,49.1256,49.1256,49.1256,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,compute_matrices_1,compute_matrices,1:1:1,1:1:1,1,Yes,1,1.000000x,33.8351,33.8351,33.8351,33.8351,142,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,2,153.144334,1.595253,19216.3,250.956173,125.478086,
context0:1,WRITE,1,535.955488,5.582870,38732.9,72.268871,72.268871,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,READ,300129,568,4.93055,0.0640004,292.13,
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,WRITE,300128,1135.98,9.86098,0.128,556.333,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,compute_matrices_1,600257,96,2.34375,57.6246,38.4163,19.2084,851.992,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
4544216,compute_matrices,0,0,edge-0,333.133,49.1256,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
377782272,0,0,260.399,72.268871,38732.9,535.955488,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
378535936,0,0,383.105,250.803491,38432.5,153.237548,
377786368,0,0,634.592,0.152682,0.004,0.026198,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,49.125646,
CU_CALLS,edge-0|compute_matrices_1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,compute_matrices_1/m_axi_gmem,512,
KERNEL_COUNT,compute_matrices,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,compute_matrices,1,
COMMAND_QUEUE_OOO,4519328,0,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,250.956,
BUFFER_WR_ACTIVE_TIME_MS,all,72.2689,
BUFFER_TX_ACTIVE_TIME_MS,all,374.346,
APPLICATION_RUN_TIME_MS,all,3543.8,
TOTAL_KERNEL_RUN_TIME_MS,all,49.1256,


