Timeline Trace
Generated on: 2022-02-09 10:50:03
Msec since Epoch: 1644403803215
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
15.527739,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
15.625158,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
15.689208,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
15.739035,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
15.804309,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
15.857895,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
15.914775,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
15.965529,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
16.020834,clGetPlatformInfo|General,START,,,,,,,,,,,4,
16.076391,clGetPlatformInfo|General,END,,,,,,,,,,,4,
16.123446,clGetPlatformInfo|General,START,,,,,,,,,,,5,
16.171752,clGetPlatformInfo|General,END,,,,,,,,,,,5,
16.219809,clGetPlatformInfo|General,START,,,,,,,,,,,6,
16.268283,clGetPlatformInfo|General,END,,,,,,,,,,,6,
16.31436,clGetPlatformInfo|General,START,,,,,,,,,,,7,
16.362516,clGetPlatformInfo|General,END,,,,,,,,,,,7,
16.409463,clGetPlatformInfo|General,START,,,,,,,,,,,8,
16.46073,clGetPlatformInfo|General,END,,,,,,,,,,,8,
16.50675,clGetPlatformInfo|General,START,,,,,,,,,,,9,
16.555047,clGetPlatformInfo|General,END,,,,,,,,,,,9,
16.601949,clGetPlatformInfo|General,START,,,,,,,,,,,10,
16.650192,clGetPlatformInfo|General,END,,,,,,,,,,,10,
16.697004,clGetPlatformInfo|General,START,,,,,,,,,,,11,
16.745616,clGetPlatformInfo|General,END,,,,,,,,,,,11,
16.79262,clGetPlatformInfo|General,START,,,,,,,,,,,12,
16.844001,clGetPlatformInfo|General,END,,,,,,,,,,,12,
16.89072,clGetPlatformInfo|General,START,,,,,,,,,,,13,
16.938261,clGetPlatformInfo|General,END,,,,,,,,,,,13,
16.984653,clGetPlatformInfo|General,START,,,,,,,,,,,14,
17.032107,clGetPlatformInfo|General,END,,,,,,,,,,,14,
17.079516,clGetPlatformInfo|General,START,,,,,,,,,,,15,
17.12643,clGetPlatformInfo|General,END,,,,,,,,,,,15,
17.252247,clGetPlatformInfo|General,START,,,,,,,,,,,16,
17.314383,clGetPlatformInfo|General,END,,,,,,,,,,,16,
17.434317,clGetPlatformInfo|General,START,,,,,,,,,,,17,
17.510511,clGetPlatformInfo|General,END,,,,,,,,,,,17,
17.61516,clGetDeviceIDs|General,START,,,,,,,,,,,18,
17.6793,clGetDeviceIDs|General,END,,,,,,,,,,,18,
17.759649,clCreateContext|General,START,,,,,,,,,,,19,
18.17634,clCreateContext|General,END,,,,,,,,,,,19,
18.285444,clCreateCommandQueue|General,START,,,,,,,,,,,20,
18.361212,clCreateCommandQueue|General,END,,,,,,,,,,,20,
38.465503,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
84.438809,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
86.604056,clBuildProgram|General,START,,,,,,,,,,,22,
86.704598,clBuildProgram|General,END,,,,,,,,,,,22,
86.795867,clCreateKernel|General,START,,,,,,,,,,,23,
93.739616,clCreateKernel|General,END,,,,,,,,,,,23,
93.817946,clCreateBuffer|General,START,,,,,,,,,,,24,
93.888464,clCreateBuffer|General,END,,,,,,,,,,,24,
93.940811,clCreateBuffer|General,START,,,,,,,,,,,25,
93.999374,clCreateBuffer|General,END,,,,,,,,,,,25,
94.048442,clCreateBuffer|General,START,,,,,,,,,,,26,
94.105883,clCreateBuffer|General,END,,,,,,,,,,,26,
94.153385,clCreateBuffer|General,START,,,,,,,,,,,27,
94.207379,clCreateBuffer|General,END,,,,,,,,,,,27,
94.25567,clCreateBuffer|General,START,,,,,,,,,,,28,
94.313345,clCreateBuffer|General,END,,,,,,,,,,,28,
94.369256,clEnqueueWriteBuffer|4519336,START,,,,,,,,,,,29,
96.308408,clEnqueueWriteBuffer|4519336,END,,,,,,,,,,,29,
96.414284,clEnqueueWriteBuffer|4519336,START,,,,,,,,,,,30,
99.406334,clEnqueueWriteBuffer|4519336,END,,,,,,,,,,,30,
99.531137,clEnqueueWriteBuffer|4519336,START,,,,,,,,,,,31,
258.268247,clEnqueueWriteBuffer|4519336,END,,,,,,,,,,,31,
258.538571,clSetKernelArg|General,START,,,,,,,,,,,32,
258.647408,clSetKernelArg|General,END,,,,,,,,,,,32,
258.734006,clSetKernelArg|General,START,,,,,,,,,,,33,
258.798635,clSetKernelArg|General,END,,,,,,,,,,,33,
258.875081,clSetKernelArg|General,START,,,,,,,,,,,34,
259.551203,clSetKernelArg|General,END,,,,,,,,,,,34,
259.681625,clSetKernelArg|General,START,,,,,,,,,,,35,
259.752209,clSetKernelArg|General,END,,,,,,,,,,,35,
259.840784,clEnqueueTask|4519336,START,,,,,,,,,,,36,
260.029262,WRITE_BUFFER,QUEUE,0X16848000|Unknown,38732898,,,,,,,,,
260.13359,WRITE_BUFFER,SUBMIT,0X16848000|Unknown,38732898,,,,,,,,,
260.399462,WRITE_BUFFER,START,0X16848000|Unknown|0Xb20ba440,38732898,,,,,,,3,None,
261.10946,DEPENDENCY_EVENT,,3,4,
261.332576,DEPENDENCY_EVENT,,3,4,
261.80222,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,QUEUE,0X4556D8,1,,,,,,,,,
261.951893,clEnqueueTask|4519336,END,,,,,,,,,,,36,
262.05773,clWaitForEvents|General,START,,,,,,,,,,,37,
332.668333,WRITE_BUFFER,END,0X16848000|Unknown|0Xb20ba440,38732898,,,,,,,3,4|4,
333.047782,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,SUBMIT,0X4556D8,1,,,,,,,,,
333.132661,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,START,0X4556D8,1,,,,,,,4,None,
382.258307,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,END,0X4556D8,1,,,,,,,4,None,
382.714832,clWaitForEvents|General,END,,,,,,,,,,,37,
382.797242,clEnqueueReadBuffer|4519336,START,,,,,,,,,,,38,
382.894784,READ_BUFFER,QUEUE,0X16900000|Unknown,38432512,,,,,,,,,
382.968254,READ_BUFFER,SUBMIT,0X16900000|Unknown,38432512,,,,,,,,,
383.104667,READ_BUFFER,START,0X16900000|Unknown|0Xb28bb440,38432512,,,,,,,5,None,
633.908158,READ_BUFFER,END,0X16900000|Unknown|0Xb28bb440,38432512,,,,,,,5,None,
634.171306,clEnqueueReadBuffer|4519336,END,,,,,,,,,,,38,
634.272202,clEnqueueReadBuffer|4519336,START,,,,,,,,,,,39,
634.36945,READ_BUFFER,QUEUE,0X16849000|Unknown,4,,,,,,,,,
634.447081,READ_BUFFER,SUBMIT,0X16849000|Unknown,4,,,,,,,,,
634.592383,READ_BUFFER,START,0X16849000|Unknown|0Xb18b9440,4,,,,,,,6,None,
634.745065,READ_BUFFER,END,0X16849000|Unknown|0Xb18b9440,4,,,,,,,6,None,
634.877587,clEnqueueReadBuffer|4519336,END,,,,,,,,,,,39,
634.947025,clWaitForEvents|General,START,,,,,,,,,,,40,
635.006686,clWaitForEvents|General,END,,,,,,,,,,,40,
635.055853,clWaitForEvents|General,START,,,,,,,,,,,41,
635.109358,clWaitForEvents|General,END,,,,,,,,,,,41,
635.171008,clGetEventProfilingInfo|General,START,,,,,,,,,,,42,
635.243479,clGetEventProfilingInfo|General,END,,,,,,,,,,,42,
635.295325,clGetEventProfilingInfo|General,START,,,,,,,,,,,43,
635.348887,clGetEventProfilingInfo|General,END,,,,,,,,,,,43,
635.421277,clReleaseMemObject|General,START,,,,,,,,,,,44,
635.483641,clReleaseMemObject|General,END,,,,,,,,,,,44,
635.533561,clReleaseMemObject|General,START,,,,,,,,,,,45,
635.58601,clReleaseMemObject|General,END,,,,,,,,,,,45,
635.633725,clReleaseMemObject|General,START,,,,,,,,,,,46,
635.687005,clReleaseMemObject|General,END,,,,,,,,,,,46,
