Timeline Trace
Generated on: 2022-02-09 10:50:04
Msec since Epoch: 1644403804741
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
88.847789,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
88.951331,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
89.105612,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
89.164115,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
89.231525,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
89.285273,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
89.338538,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
89.38547,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
89.439038,clGetPlatformInfo|General,START,,,,,,,,,,,4,
89.493539,clGetPlatformInfo|General,END,,,,,,,,,,,4,
89.541059,clGetPlatformInfo|General,START,,,,,,,,,,,5,
89.589047,clGetPlatformInfo|General,END,,,,,,,,,,,5,
89.637704,clGetPlatformInfo|General,START,,,,,,,,,,,6,
89.686526,clGetPlatformInfo|General,END,,,,,,,,,,,6,
89.732276,clGetPlatformInfo|General,START,,,,,,,,,,,7,
89.778878,clGetPlatformInfo|General,END,,,,,,,,,,,7,
89.824232,clGetPlatformInfo|General,START,,,,,,,,,,,8,
89.874587,clGetPlatformInfo|General,END,,,,,,,,,,,8,
89.920214,clGetPlatformInfo|General,START,,,,,,,,,,,9,
89.965967,clGetPlatformInfo|General,END,,,,,,,,,,,9,
90.011327,clGetPlatformInfo|General,START,,,,,,,,,,,10,
90.05882,clGetPlatformInfo|General,END,,,,,,,,,,,10,
90.105089,clGetPlatformInfo|General,START,,,,,,,,,,,11,
90.151502,clGetPlatformInfo|General,END,,,,,,,,,,,11,
90.197075,clGetPlatformInfo|General,START,,,,,,,,,,,12,
90.248594,clGetPlatformInfo|General,END,,,,,,,,,,,12,
90.294482,clGetPlatformInfo|General,START,,,,,,,,,,,13,
90.34082,clGetPlatformInfo|General,END,,,,,,,,,,,13,
90.386954,clGetPlatformInfo|General,START,,,,,,,,,,,14,
90.433943,clGetPlatformInfo|General,END,,,,,,,,,,,14,
90.480185,clGetPlatformInfo|General,START,,,,,,,,,,,15,
90.526925,clGetPlatformInfo|General,END,,,,,,,,,,,15,
90.650492,clGetPlatformInfo|General,START,,,,,,,,,,,16,
90.712019,clGetPlatformInfo|General,END,,,,,,,,,,,16,
90.832388,clGetPlatformInfo|General,START,,,,,,,,,,,17,
90.890111,clGetPlatformInfo|General,END,,,,,,,,,,,17,
90.989474,clGetDeviceIDs|General,START,,,,,,,,,,,18,
91.052594,clGetDeviceIDs|General,END,,,,,,,,,,,18,
91.131425,clCreateContext|General,START,,,,,,,,,,,19,
91.631177,clCreateContext|General,END,,,,,,,,,,,19,
91.742048,clCreateCommandQueue|General,START,,,,,,,,,,,20,
91.818485,clCreateCommandQueue|General,END,,,,,,,,,,,20,
296.331489,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
345.711463,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
347.851441,clBuildProgram|General,START,,,,,,,,,,,22,
347.9464,clBuildProgram|General,END,,,,,,,,,,,22,
348.035347,clCreateKernel|General,START,,,,,,,,,,,23,
355.170166,clCreateKernel|General,END,,,,,,,,,,,23,
355.250137,clCreateBuffer|General,START,,,,,,,,,,,24,
355.320211,clCreateBuffer|General,END,,,,,,,,,,,24,
355.372174,clCreateBuffer|General,START,,,,,,,,,,,25,
355.428829,clCreateBuffer|General,END,,,,,,,,,,,25,
355.476541,clCreateBuffer|General,START,,,,,,,,,,,26,
355.532119,clCreateBuffer|General,END,,,,,,,,,,,26,
355.579708,clCreateBuffer|General,START,,,,,,,,,,,27,
355.63399,clCreateBuffer|General,END,,,,,,,,,,,27,
355.681468,clCreateBuffer|General,START,,,,,,,,,,,28,
355.738132,clCreateBuffer|General,END,,,,,,,,,,,28,
355.792399,clEnqueueWriteBuffer|4916456,START,,,,,,,,,,,29,
357.760969,clEnqueueWriteBuffer|4916456,END,,,,,,,,,,,29,
357.864475,clEnqueueWriteBuffer|4916456,START,,,,,,,,,,,30,
365.133634,clEnqueueWriteBuffer|4916456,END,,,,,,,,,,,30,
365.267974,clEnqueueWriteBuffer|4916456,START,,,,,,,,,,,31,
495.069406,clEnqueueWriteBuffer|4916456,END,,,,,,,,,,,31,
495.271714,clSetKernelArg|General,START,,,,,,,,,,,32,
495.363217,clSetKernelArg|General,END,,,,,,,,,,,32,
495.446278,clSetKernelArg|General,START,,,,,,,,,,,33,
495.5098,clSetKernelArg|General,END,,,,,,,,,,,33,
495.587086,clSetKernelArg|General,START,,,,,,,,,,,34,
496.063453,clSetKernelArg|General,END,,,,,,,,,,,34,
496.179559,clSetKernelArg|General,START,,,,,,,,,,,35,
496.247734,clSetKernelArg|General,END,,,,,,,,,,,35,
496.335517,clEnqueueTask|4916456,START,,,,,,,,,,,36,
496.466743,WRITE_BUFFER,QUEUE,0X16848000|Unknown,33002082,,,,,,,,,
496.55086,WRITE_BUFFER,SUBMIT,0X16848000|Unknown,33002082,,,,,,,,,
496.775857,WRITE_BUFFER,START,0X16848000|Unknown|0Xb26ba440,33002082,,,,,,,3,None,
511.948192,DEPENDENCY_EVENT,,3,4,
512.125075,DEPENDENCY_EVENT,,3,4,
512.49067,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,QUEUE,0X4BB770,1,,,,,,,,,
512.591173,clEnqueueTask|4916456,END,,,,,,,,,,,36,
512.660677,clWaitForEvents|General,START,,,,,,,,,,,37,
558.978338,WRITE_BUFFER,END,0X16848000|Unknown|0Xb16b8440,33002082,,,,,,,3,4|4,
559.376504,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,SUBMIT,0X4BB770,1,,,,,,,,,
559.463609,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,START,0X4BB770,1,,,,,,,4,None,
603.108696,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,END,0X4BB770,1,,,,,,,4,None,
603.574026,clWaitForEvents|General,END,,,,,,,,,,,37,
603.65634,clEnqueueReadBuffer|4916456,START,,,,,,,,,,,38,
603.755274,READ_BUFFER,QUEUE,0X16a00000|Unknown,32001984,,,,,,,,,
603.83046,READ_BUFFER,SUBMIT,0X16a00000|Unknown,32001984,,,,,,,,,
603.968577,READ_BUFFER,START,0X16a00000|Unknown|0Xb2ebb440,32001984,,,,,,,5,None,
814.43626,READ_BUFFER,END,0X16a00000|Unknown|0Xb2ebb440,32001984,,,,,,,5,None,
814.735501,clEnqueueReadBuffer|4916456,END,,,,,,,,,,,38,
814.828942,clEnqueueReadBuffer|4916456,START,,,,,,,,,,,39,
814.924588,READ_BUFFER,QUEUE,0X16849000|Unknown,4,,,,,,,,,
815.000125,READ_BUFFER,SUBMIT,0X16849000|Unknown,4,,,,,,,,,
815.149588,READ_BUFFER,START,0X16849000|Unknown|0Xb1eb9440,4,,,,,,,6,None,
815.286397,READ_BUFFER,END,0X16849000|Unknown|0Xb1eb9440,4,,,,,,,6,None,
815.420941,clEnqueueReadBuffer|4916456,END,,,,,,,,,,,39,
815.489647,clWaitForEvents|General,START,,,,,,,,,,,40,
815.548414,clWaitForEvents|General,END,,,,,,,,,,,40,
815.597005,clWaitForEvents|General,START,,,,,,,,,,,41,
815.650942,clWaitForEvents|General,END,,,,,,,,,,,41,
815.710336,clGetEventProfilingInfo|General,START,,,,,,,,,,,42,
815.770654,clGetEventProfilingInfo|General,END,,,,,,,,,,,42,
815.820499,clGetEventProfilingInfo|General,START,,,,,,,,,,,43,
815.872579,clGetEventProfilingInfo|General,END,,,,,,,,,,,43,
815.937409,clReleaseMemObject|General,START,,,,,,,,,,,44,
815.996281,clReleaseMemObject|General,END,,,,,,,,,,,44,
816.046717,clReleaseMemObject|General,START,,,,,,,,,,,45,
816.098566,clReleaseMemObject|General,END,,,,,,,,,,,45,
816.146512,clReleaseMemObject|General,START,,,,,,,,,,,46,
816.19912,clReleaseMemObject|General,END,,,,,,,,,,,46,
816.246988,clReleaseMemObject|General,START,,,,,,,,,,,47,
816.297544,clReleaseMemObject|General,END,,,,,,,,,,,47,
816.344737,clReleaseMemObject|General,START,,,,,,,,,,,48,
816.399631,clReleaseMemObject|General,END,,,,,,,,,,,48,
816.452872,clReleaseProgram|General,START,,,,,,,,,,,49,
816.509812,clReleaseProgram|General,END,,,,,,,,,,,49,
816.562471,clReleaseKernel|General,START,,,,,,,,,,,50,
816.619078,clReleaseKernel|General,END,,,,,,,,,,,50,
816.672112,clReleaseCommandQueue|General,START,,,,,,,,,,,51,
816.730234,clReleaseCommandQueue|General,END,,,,,,,,,,,51,
816.784183,clReleaseContext|General,START,,,,,,,,,,,52,
816.842575,clReleaseContext|General,END,,,,,,,,,,,52,
496.6866298,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,START,,1,1,
526.6647776,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,END,,1,1,
Footer,begin
Project,lsal,
Stall profiling,false,
Target,System Run,
Platform,edge-0,
Read/Write Thread,0XB16B8440
Read/Write Thread,0XB1EB9440
Read/Write Thread,0XB2EBB440
Device,edge-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,edge-0,end
Footer,end

