Timeline Trace
Generated on: 2022-02-09 10:50:16
Msec since Epoch: 1644403816522
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
88.739681,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
88.93661,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
89.08988,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
89.147798,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
89.2136,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
89.269334,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
89.322779,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
89.370917,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
89.424362,clGetPlatformInfo|General,START,,,,,,,,,,,4,
89.47901,clGetPlatformInfo|General,END,,,,,,,,,,,4,
89.525894,clGetPlatformInfo|General,START,,,,,,,,,,,5,
89.575505,clGetPlatformInfo|General,END,,,,,,,,,,,5,
89.62358,clGetPlatformInfo|General,START,,,,,,,,,,,6,
89.672393,clGetPlatformInfo|General,END,,,,,,,,,,,6,
89.718371,clGetPlatformInfo|General,START,,,,,,,,,,,7,
89.817152,clGetPlatformInfo|General,END,,,,,,,,,,,7,
89.874551,clGetPlatformInfo|General,START,,,,,,,,,,,8,
89.929094,clGetPlatformInfo|General,END,,,,,,,,,,,8,
89.975912,clGetPlatformInfo|General,START,,,,,,,,,,,9,
90.024794,clGetPlatformInfo|General,END,,,,,,,,,,,9,
90.071459,clGetPlatformInfo|General,START,,,,,,,,,,,10,
90.118382,clGetPlatformInfo|General,END,,,,,,,,,,,10,
90.166313,clGetPlatformInfo|General,START,,,,,,,,,,,11,
90.213443,clGetPlatformInfo|General,END,,,,,,,,,,,11,
90.2597,clGetPlatformInfo|General,START,,,,,,,,,,,12,
90.31127,clGetPlatformInfo|General,END,,,,,,,,,,,12,
90.358157,clGetPlatformInfo|General,START,,,,,,,,,,,13,
90.404975,clGetPlatformInfo|General,END,,,,,,,,,,,13,
90.452042,clGetPlatformInfo|General,START,,,,,,,,,,,14,
90.499025,clGetPlatformInfo|General,END,,,,,,,,,,,14,
90.544601,clGetPlatformInfo|General,START,,,,,,,,,,,15,
90.591914,clGetPlatformInfo|General,END,,,,,,,,,,,15,
90.716477,clGetPlatformInfo|General,START,,,,,,,,,,,16,
90.778289,clGetPlatformInfo|General,END,,,,,,,,,,,16,
90.895511,clGetPlatformInfo|General,START,,,,,,,,,,,17,
90.953432,clGetPlatformInfo|General,END,,,,,,,,,,,17,
91.052636,clGetDeviceIDs|General,START,,,,,,,,,,,18,
