Profile Summary
Generated on: 2022-02-09 10:55:10
Msec since Epoch: 1644404110014
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clEnqueueReadBuffer,2,126.368,0.663651,63.1841,125.705,
clEnqueueWriteBuffer,3,86.0766,1.92619,28.6922,81.2584,
clWaitForEvents,3,61.9515,0.051438,20.6505,61.8426,
clCreateProgramWithBinary,1,45.967,45.967,45.967,45.967,
clCreateKernel,1,7.16477,7.16477,7.16477,7.16477,
clEnqueueTask,1,1.29479,1.29479,1.29479,1.29479,
clSetKernelArg,4,0.981819,0.06369,0.245455,0.73869,
clGetPlatformInfo,14,0.697875,0.04617,0.0498482,0.060525,
clCreateContext,1,0.417582,0.417582,0.417582,0.417582,
clGetExtensionFunctionAddress,2,0.367152,0.153627,0.183576,0.213525,
clCreateBuffer,5,0.292872,0.054534,0.0585744,0.072027,
clReleaseMemObject,5,0.264435,0.048423,0.052887,0.060387,
clGetEventProfilingInfo,2,0.123612,0.052815,0.061806,0.070797,
clGetExtensionFunctionAddressForPlatform,2,0.117009,0.053031,0.0585045,0.063978,
clBuildProgram,1,0.099987,0.099987,0.099987,0.099987,
clGetDeviceIDs,1,0.082902,0.082902,0.082902,0.082902,
clCreateCommandQueue,1,0.075033,0.075033,0.075033,0.075033,
clReleaseContext,1,0.057654,0.057654,0.057654,0.057654,
clReleaseCommandQueue,1,0.056901,0.056901,0.056901,0.056901,
clReleaseProgram,1,0.055788,0.055788,0.055788,0.055788,
clReleaseKernel,1,0.054507,0.054507,0.054507,0.054507,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
compute_matrices,1,25.1075,25.1075,25.1075,25.1075,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,compute_matrices_1,compute_matrices,1:1:1,1:1:1,1,Yes,1,1.000000x,16.9257,16.9257,16.9257,16.9257,142,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,2,153.363681,1.597538,9604.03,125.245220,62.622610,
context0:1,WRITE,1,531.918186,5.540814,19508.3,36.675298,36.675298,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,READ,300065,1135.73,9.85874,0.064,873.41,
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,WRITE,300064,1135.73,9.85881,0.0639998,253.542,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,compute_matrices_1,600129,63.9999,1.5625,38.4082,19.204,19.2042,1135.73,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
4867672,compute_matrices,0,0,edge-0,220.072,25.1075,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
377782272,0,0,182.915,36.675298,19508.3,531.918186,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
378535936,0,0,246.029,125.108531,19208.1,153.531209,
377786368,0,0,371.905,0.136689,0.004,0.029264,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,25.107454,
CU_CALLS,edge-0|compute_matrices_1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,compute_matrices_1/m_axi_gmem,512,
KERNEL_COUNT,compute_matrices,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,compute_matrices,1,
COMMAND_QUEUE_OOO,4842784,0,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,125.245,
BUFFER_WR_ACTIVE_TIME_MS,all,36.6753,
BUFFER_TX_ACTIVE_TIME_MS,all,189.127,
APPLICATION_RUN_TIME_MS,all,715.176,
TOTAL_KERNEL_RUN_TIME_MS,all,25.1075,


