Timeline Trace
Generated on: 2022-02-09 10:55:10
Msec since Epoch: 1644404110015
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
15.42861,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
15.527361,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
15.591339,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
15.642135,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
15.706515,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
15.759453,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
15.812484,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
15.860142,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
15.915339,clGetPlatformInfo|General,START,,,,,,,,,,,4,
15.969837,clGetPlatformInfo|General,END,,,,,,,,,,,4,
16.017066,clGetPlatformInfo|General,START,,,,,,,,,,,5,
16.065636,clGetPlatformInfo|General,END,,,,,,,,,,,5,
16.113174,clGetPlatformInfo|General,START,,,,,,,,,,,6,
16.161468,clGetPlatformInfo|General,END,,,,,,,,,,,6,
16.207557,clGetPlatformInfo|General,START,,,,,,,,,,,7,
16.253727,clGetPlatformInfo|General,END,,,,,,,,,,,7,
16.299081,clGetPlatformInfo|General,START,,,,,,,,,,,8,
16.348578,clGetPlatformInfo|General,END,,,,,,,,,,,8,
16.395579,clGetPlatformInfo|General,START,,,,,,,,,,,9,
16.442562,clGetPlatformInfo|General,END,,,,,,,,,,,9,
16.488798,clGetPlatformInfo|General,START,,,,,,,,,,,10,
16.536291,clGetPlatformInfo|General,END,,,,,,,,,,,10,
16.582434,clGetPlatformInfo|General,START,,,,,,,,,,,11,
16.62993,clGetPlatformInfo|General,END,,,,,,,,,,,11,
16.675899,clGetPlatformInfo|General,START,,,,,,,,,,,12,
16.725798,clGetPlatformInfo|General,END,,,,,,,,,,,12,
16.770885,clGetPlatformInfo|General,START,,,,,,,,,,,13,
16.81848,clGetPlatformInfo|General,END,,,,,,,,,,,13,
16.863813,clGetPlatformInfo|General,START,,,,,,,,,,,14,
16.910862,clGetPlatformInfo|General,END,,,,,,,,,,,14,
16.956513,clGetPlatformInfo|General,START,,,,,,,,,,,15,
17.002959,clGetPlatformInfo|General,END,,,,,,,,,,,15,
17.126775,clGetPlatformInfo|General,START,,,,,,,,,,,16,
17.1873,clGetPlatformInfo|General,END,,,,,,,,,,,16,
17.303844,clGetPlatformInfo|General,START,,,,,,,,,,,17,
17.361204,clGetPlatformInfo|General,END,,,,,,,,,,,17,
17.460501,clGetDeviceIDs|General,START,,,,,,,,,,,18,
17.543403,clGetDeviceIDs|General,END,,,,,,,,,,,18,
17.626149,clCreateContext|General,START,,,,,,,,,,,19,
18.043731,clCreateContext|General,END,,,,,,,,,,,19,
18.148047,clCreateCommandQueue|General,START,,,,,,,,,,,20,
18.22308,clCreateCommandQueue|General,END,,,,,,,,,,,20,
38.313201,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
84.280216,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
86.444476,clBuildProgram|General,START,,,,,,,,,,,22,
86.544463,clBuildProgram|General,END,,,,,,,,,,,22,
86.634841,clCreateKernel|General,START,,,,,,,,,,,23,
93.79961,clCreateKernel|General,END,,,,,,,,,,,23,
93.880067,clCreateBuffer|General,START,,,,,,,,,,,24,
93.952094,clCreateBuffer|General,END,,,,,,,,,,,24,
94.003241,clCreateBuffer|General,START,,,,,,,,,,,25,
94.058234,clCreateBuffer|General,END,,,,,,,,,,,25,
94.107167,clCreateBuffer|General,START,,,,,,,,,,,26,
94.162331,clCreateBuffer|General,END,,,,,,,,,,,26,
94.210691,clCreateBuffer|General,START,,,,,,,,,,,27,
94.265225,clCreateBuffer|General,END,,,,,,,,,,,27,
94.312445,clCreateBuffer|General,START,,,,,,,,,,,28,
94.368599,clCreateBuffer|General,END,,,,,,,,,,,28,
94.422476,clEnqueueWriteBuffer|4842792,START,,,,,,,,,,,29,
96.348671,clEnqueueWriteBuffer|4842792,END,,,,,,,,,,,29,
96.453683,clEnqueueWriteBuffer|4842792,START,,,,,,,,,,,30,
99.345713,clEnqueueWriteBuffer|4842792,END,,,,,,,,,,,30,
99.478091,clEnqueueWriteBuffer|4842792,START,,,,,,,,,,,31,
