Timeline Trace
Generated on: 2022-02-09 10:50:51
Msec since Epoch: 1644403851651
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
14.98366,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
15.078565,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
15.144412,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
15.193621,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
15.257869,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
15.310744,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
15.363538,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
15.410113,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
15.463315,clGetPlatformInfo|General,START,,,,,,,,,,,4,
15.517402,clGetPlatformInfo|General,END,,,,,,,,,,,4,
15.562951,clGetPlatformInfo|General,START,,,,,,,,,,,5,
15.61147,clGetPlatformInfo|General,END,,,,,,,,,,,5,
15.657151,clGetPlatformInfo|General,START,,,,,,,,,,,6,
15.704539,clGetPlatformInfo|General,END,,,,,,,,,,,6,
15.749239,clGetPlatformInfo|General,START,,,,,,,,,,,7,
15.795946,clGetPlatformInfo|General,END,,,,,,,,,,,7,
15.840634,clGetPlatformInfo|General,START,,,,,,,,,,,8,
15.890149,clGetPlatformInfo|General,END,,,,,,,,,,,8,
15.935386,clGetPlatformInfo|General,START,,,,,,,,,,,9,
15.98176,clGetPlatformInfo|General,END,,,,,,,,,,,9,
16.027672,clGetPlatformInfo|General,START,,,,,,,,,,,10,
16.074733,clGetPlatformInfo|General,END,,,,,,,,,,,10,
16.120744,clGetPlatformInfo|General,START,,,,,,,,,,,11,
16.167772,clGetPlatformInfo|General,END,,,,,,,,,,,11,
16.213978,clGetPlatformInfo|General,START,,,,,,,,,,,12,
16.262947,clGetPlatformInfo|General,END,,,,,,,,,,,12,
16.308724,clGetPlatformInfo|General,START,,,,,,,,,,,13,
16.355992,clGetPlatformInfo|General,END,,,,,,,,,,,13,
16.401343,clGetPlatformInfo|General,START,,,,,,,,,,,14,
16.447453,clGetPlatformInfo|General,END,,,,,,,,,,,14,
16.49317,clGetPlatformInfo|General,START,,,,,,,,,,,15,
16.540132,clGetPlatformInfo|General,END,,,,,,,,,,,15,
16.66288,clGetPlatformInfo|General,START,,,,,,,,,,,16,
16.722292,clGetPlatformInfo|General,END,,,,,,,,,,,16,
16.840177,clGetPlatformInfo|General,START,,,,,,,,,,,17,
16.895626,clGetPlatformInfo|General,END,,,,,,,,,,,17,
16.993453,clGetDeviceIDs|General,START,,,,,,,,,,,18,
17.076469,clGetDeviceIDs|General,END,,,,,,,,,,,18,
17.160388,clCreateContext|General,START,,,,,,,,,,,19,
17.486641,clCreateContext|General,END,,,,,,,,,,,19,
17.588836,clCreateCommandQueue|General,START,,,,,,,,,,,20,
17.663179,clCreateCommandQueue|General,END,,,,,,,,,,,20,
35.685877,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
81.887903,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
84.151964,clBuildProgram|General,START,,,,,,,,,,,22,
84.261794,clBuildProgram|General,END,,,,,,,,,,,22,
84.356156,clCreateKernel|General,START,,,,,,,,,,,23,
91.24394,clCreateKernel|General,END,,,,,,,,,,,23,
91.318094,clCreateBuffer|General,START,,,,,,,,,,,24,
91.385729,clCreateBuffer|General,END,,,,,,,,,,,24,
91.43732,clCreateBuffer|General,START,,,,,,,,,,,25,
91.493522,clCreateBuffer|General,END,,,,,,,,,,,25,
91.541462,clCreateBuffer|General,START,,,,,,,,,,,26,
91.595174,clCreateBuffer|General,END,,,,,,,,,,,26,
91.642115,clCreateBuffer|General,START,,,,,,,,,,,27,
91.694792,clCreateBuffer|General,END,,,,,,,,,,,27,
91.742093,clCreateBuffer|General,START,,,,,,,,,,,28,
91.798718,clCreateBuffer|General,END,,,,,,,,,,,28,
91.853387,clEnqueueWriteBuffer|5530928,START,,,,,,,,,,,29,
93.939425,clEnqueueWriteBuffer|5530928,END,,,,,,,,,,,29,
94.045133,clEnqueueWriteBuffer|5530928,START,,,,,,,,,,,30,
95.292902,clEnqueueWriteBuffer|5530928,END,,,,,,,,,,,30,
95.395043,clEnqueueWriteBuffer|5530928,START,,,,,,,,,,,31,
105.736737,clEnqueueWriteBuffer|5530928,END,,,,,,,,,,,31,
105.960657,clSetKernelArg|General,START,,,,,,,,,,,32,
106.053408,clSetKernelArg|General,END,,,,,,,,,,,32,
106.136994,clSetKernelArg|General,START,,,,,,,,,,,33,
106.20072,clSetKernelArg|General,END,,,,,,,,,,,33,
106.275741,clSetKernelArg|General,START,,,,,,,,,,,34,
106.900122,clSetKernelArg|General,END,,,,,,,,,,,34,
107.022144,clSetKernelArg|General,START,,,,,,,,,,,35,
107.091573,clSetKernelArg|General,END,,,,,,,,,,,35,
107.178786,clEnqueueTask|5530928,START,,,,,,,,,,,36,
107.313093,WRITE_BUFFER,QUEUE,0X16848000|Unknown,2164770,,,,,,,,,
107.400585,WRITE_BUFFER,SUBMIT,0X16848000|Unknown,2164770,,,,,,,,,
107.653971,DEPENDENCY_EVENT,,3,4,
107.653521,WRITE_BUFFER,START,0X16848000|Unknown|0Xb33b8440,2164770,,,,,,,3,4,
107.874648,DEPENDENCY_EVENT,,3,4,
108.37749,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,QUEUE,0X5517B8,1,,,,,,,,,
108.525876,clEnqueueTask|5530928,END,,,,,,,,,,,36,
108.627897,clWaitForEvents|General,START,,,,,,,,,,,37,
112.312737,WRITE_BUFFER,END,0X16848000|Unknown|0Xb33b8440,2164770,,,,,,,3,4|4,
112.668507,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,SUBMIT,0X5517B8,1,,,,,,,,,
112.752765,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,START,0X5517B8,1,,,,,,,4,None,
116.540523,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,END,0X5517B8,1,,,,,,,4,None,
116.993304,clWaitForEvents|General,END,,,,,,,,,,,37,
117.073818,clEnqueueReadBuffer|5530928,START,,,,,,,,,,,38,
117.171441,READ_BUFFER,QUEUE,0X16900000|Unknown,2099136,,,,,,,,,
117.244029,READ_BUFFER,SUBMIT,0X16900000|Unknown,2099136,,,,,,,,,
117.377571,READ_BUFFER,START,0X16900000|Unknown|0Xb4bbb440,2099136,,,,,,,5,None,
131.414232,READ_BUFFER,END,0X16900000|Unknown|0Xb4bbb440,2099136,,,,,,,5,None,
131.678565,clEnqueueReadBuffer|5530928,END,,,,,,,,,,,38,
131.771211,clEnqueueReadBuffer|5530928,START,,,,,,,,,,,39,
131.866221,READ_BUFFER,QUEUE,0X16849000|Unknown,4,,,,,,,,,
131.941254,READ_BUFFER,SUBMIT,0X16849000|Unknown,4,,,,,,,,,
132.088584,READ_BUFFER,START,0X16849000|Unknown|0Xb3bb9440,4,,,,,,,6,None,
132.282516,READ_BUFFER,END,0X16849000|Unknown|0Xb3bb9440,4,,,,,,,6,None,
132.418299,clEnqueueReadBuffer|5530928,END,,,,,,,,,,,39,
132.48888,clWaitForEvents|General,START,,,,,,,,,,,40,
132.547944,clWaitForEvents|General,END,,,,,,,,,,,40,
132.596295,clWaitForEvents|General,START,,,,,,,,,,,41,
132.647727,clWaitForEvents|General,END,,,,,,,,,,,41,
132.706269,clGetEventProfilingInfo|General,START,,,,,,,,,,,42,
132.766356,clGetEventProfilingInfo|General,END,,,,,,,,,,,42,
132.814893,clGetEventProfilingInfo|General,START,,,,,,,,,,,43,
132.866433,clGetEventProfilingInfo|General,END,,,,,,,,,,,43,
132.928599,clReleaseMemObject|General,START,,,,,,,,,,,44,
132.988287,clReleaseMemObject|General,END,,,,,,,,,,,44,
133.0377,clReleaseMemObject|General,START,,,,,,,,,,,45,
133.087452,clReleaseMemObject|General,END,,,,,,,,,,,45,
133.134783,clReleaseMemObject|General,START,,,,,,,,,,,46,
133.187559,clReleaseMemObject|General,END,,,,,,,,,,,46,
133.234344,clReleaseMemObject|General,START,,,,,,,,,,,47,
133.283817,clReleaseMemObject|General,END,,,,,,,,,,,47,
133.330611,clReleaseMemObject|General,START,,,,,,,,,,,48,
133.384347,clReleaseMemObject|General,END,,,,,,,,,,,48,
133.438098,clReleaseProgram|General,START,,,,,,,,,,,49,
133.49583,clReleaseProgram|General,END,,,,,,,,,,,49,
133.548819,clReleaseKernel|General,START,,,,,,,,,,,50,
133.603062,clReleaseKernel|General,END,,,,,,,,,,,50,
133.655925,clReleaseCommandQueue|General,START,,,,,,,,,,,51,
133.713051,clReleaseCommandQueue|General,END,,,,,,,,,,,51,
133.766337,clReleaseContext|General,START,,,,,,,,,,,52,
133.824528,clReleaseContext|General,END,,,,,,,,,,,52,
104.0445051,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,START,,1,1,
106.0232305,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,END,,1,1,
Footer,begin
Project,lsal,
Stall profiling,false,
Target,System Run,
Platform,edge-0,
Read/Write Thread,0XB33B8440
Read/Write Thread,0XB3BB9440
Read/Write Thread,0XB4BBB440
Device,edge-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,edge-0,end
Footer,end

