Timeline Trace
Generated on: 2022-02-09 10:49:25
Msec since Epoch: 1644403765097
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
88.822127,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
89.01647,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
89.088734,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
89.139266,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
89.203565,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
89.257124,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
89.310536,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
89.357417,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
89.411915,clGetPlatformInfo|General,START,,,,,,,,,,,4,
89.466806,clGetPlatformInfo|General,END,,,,,,,,,,,4,
89.514227,clGetPlatformInfo|General,START,,,,,,,,,,,5,
89.562056,clGetPlatformInfo|General,END,,,,,,,,,,,5,
89.610263,clGetPlatformInfo|General,START,,,,,,,,,,,6,
89.658611,clGetPlatformInfo|General,END,,,,,,,,,,,6,
89.70458,clGetPlatformInfo|General,START,,,,,,,,,,,7,
89.750699,clGetPlatformInfo|General,END,,,,,,,,,,,7,
89.796743,clGetPlatformInfo|General,START,,,,,,,,,,,8,
89.846885,clGetPlatformInfo|General,END,,,,,,,,,,,8,
89.893091,clGetPlatformInfo|General,START,,,,,,,,,,,9,
89.940872,clGetPlatformInfo|General,END,,,,,,,,,,,9,
89.987483,clGetPlatformInfo|General,START,,,,,,,,,,,10,
90.034979,clGetPlatformInfo|General,END,,,,,,,,,,,10,
90.080675,clGetPlatformInfo|General,START,,,,,,,,,,,11,
90.128441,clGetPlatformInfo|General,END,,,,,,,,,,,11,
90.174434,clGetPlatformInfo|General,START,,,,,,,,,,,12,
90.274118,clGetPlatformInfo|General,END,,,,,,,,,,,12,
90.330902,clGetPlatformInfo|General,START,,,,,,,,,,,13,
90.38171,clGetPlatformInfo|General,END,,,,,,,,,,,13,
90.429716,clGetPlatformInfo|General,START,,,,,,,,,,,14,
90.477377,clGetPlatformInfo|General,END,,,,,,,,,,,14,
90.543668,clGetPlatformInfo|General,START,,,,,,,,,,,15,
90.595787,clGetPlatformInfo|General,END,,,,,,,,,,,15,
90.722825,clGetPlatformInfo|General,START,,,,,,,,,,,16,
90.785699,clGetPlatformInfo|General,END,,,,,,,,,,,16,
90.904151,clGetPlatformInfo|General,START,,,,,,,,,,,17,
90.962525,clGetPlatformInfo|General,END,,,,,,,,,,,17,
91.06382,clGetDeviceIDs|General,START,,,,,,,,,,,18,
91.127675,clGetDeviceIDs|General,END,,,,,,,,,,,18,
91.207031,clCreateContext|General,START,,,,,,,,,,,19,
91.644386,clCreateContext|General,END,,,,,,,,,,,19,
91.75556,clCreateCommandQueue|General,START,,,,,,,,,,,20,
91.832198,clCreateCommandQueue|General,END,,,,,,,,,,,20,
294.396327,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
343.549771,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
345.692032,clBuildProgram|General,START,,,,,,,,,,,22,
345.78793,clBuildProgram|General,END,,,,,,,,,,,22,
345.876784,clCreateKernel|General,START,,,,,,,,,,,23,
353.01997,clCreateKernel|General,END,,,,,,,,,,,23,
353.097208,clCreateBuffer|General,START,,,,,,,,,,,24,
353.166823,clCreateBuffer|General,END,,,,,,,,,,,24,
353.217943,clCreateBuffer|General,START,,,,,,,,,,,25,
353.275096,clCreateBuffer|General,END,,,,,,,,,,,25,
353.322889,clCreateBuffer|General,START,,,,,,,,,,,26,
353.37877,clCreateBuffer|General,END,,,,,,,,,,,26,
353.427142,clCreateBuffer|General,START,,,,,,,,,,,27,
353.480122,clCreateBuffer|General,END,,,,,,,,,,,27,
353.528461,clCreateBuffer|General,START,,,,,,,,,,,28,
353.585317,clCreateBuffer|General,END,,,,,,,,,,,28,
353.640715,clEnqueueWriteBuffer|5056176,START,,,,,,,,,,,29,
355.555015,clEnqueueWriteBuffer|5056176,END,,,,,,,,,,,29,
355.659985,clEnqueueWriteBuffer|5056176,START,,,,,,,,,,,30,
356.888464,clEnqueueWriteBuffer|5056176,END,,,,,,,,,,,30,
356.991286,clEnqueueWriteBuffer|5056176,START,,,,,,,,,,,31,
392.922476,clEnqueueWriteBuffer|5056176,END,,,,,,,,,,,31,
393.125945,clSetKernelArg|General,START,,,,,,,,,,,32,
393.21701,clSetKernelArg|General,END,,,,,,,,,,,32,
393.298982,clSetKernelArg|General,START,,,,,,,,,,,33,
393.36392,clSetKernelArg|General,END,,,,,,,,,,,33,
393.439652,clSetKernelArg|General,START,,,,,,,,,,,34,
393.928976,clSetKernelArg|General,END,,,,,,,,,,,34,
394.04801,clSetKernelArg|General,START,,,,,,,,,,,35,
394.116971,clSetKernelArg|General,END,,,,,,,,,,,35,
394.205642,clEnqueueTask|5056176,START,,,,,,,,,,,36,
394.336739,WRITE_BUFFER,QUEUE,0X16848000|Unknown,8487042,,,,,,,,,
394.418444,WRITE_BUFFER,SUBMIT,0X16848000|Unknown,8487042,,,,,,,,,
394.680602,WRITE_BUFFER,START,0X16848000|Unknown|0Xb2e78440,8487042,,,,,,,3,None,
394.924214,DEPENDENCY_EVENT,,3,4,
395.141153,DEPENDENCY_EVENT,,3,4,
395.59403,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,QUEUE,0X4D87E0,1,,,,,,,,,
395.742344,clEnqueueTask|5056176,END,,,,,,,,,,,36,
395.84414,clWaitForEvents|General,START,,,,,,,,,,,37,
410.879958,WRITE_BUFFER,END,0X16848000|Unknown|0Xb3e7a440,8487042,,,,,,,3,4|4,
411.273423,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,SUBMIT,0X4D87E0,1,,,,,,,,,
411.357837,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,START,0X4D87E0,1,,,,,,,4,None,
422.991276,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,END,0X4D87E0,1,,,,,,,4,None,
423.449853,clWaitForEvents|General,END,,,,,,,,,,,37,
423.533556,clEnqueueReadBuffer|5056176,START,,,,,,,,,,,38,
423.633726,READ_BUFFER,QUEUE,0X16900000|Unknown,8421120,,,,,,,,,
423.708075,READ_BUFFER,SUBMIT,0X16900000|Unknown,8421120,,,,,,,,,
423.846861,READ_BUFFER,START,0X16900000|Unknown|0Xb467b440,8421120,,,,,,,5,None,
479.096407,READ_BUFFER,END,0X16900000|Unknown|0Xb467b440,8421120,,,,,,,5,None,
479.359222,clEnqueueReadBuffer|5056176,END,,,,,,,,,,,38,
479.450323,clEnqueueReadBuffer|5056176,START,,,,,,,,,,,39,
479.54701,READ_BUFFER,QUEUE,0X16849000|Unknown,4,,,,,,,,,
479.622331,READ_BUFFER,SUBMIT,0X16849000|Unknown,4,,,,,,,,,
479.771215,READ_BUFFER,START,0X16849000|Unknown|0Xb3679440,4,,,,,,,6,None,
479.924962,READ_BUFFER,END,0X16849000|Unknown|0Xb3679440,4,,,,,,,6,None,
480.061252,clEnqueueReadBuffer|5056176,END,,,,,,,,,,,39,
480.12901,clWaitForEvents|General,START,,,,,,,,,,,40,
480.187561,clWaitForEvents|General,END,,,,,,,,,,,40,
480.300862,clWaitForEvents|General,START,,,,,,,,,,,41,
480.361048,clWaitForEvents|General,END,,,,,,,,,,,41,
480.422842,clGetEventProfilingInfo|General,START,,,,,,,,,,,42,
480.483376,clGetEventProfilingInfo|General,END,,,,,,,,,,,42,
480.532915,clGetEventProfilingInfo|General,START,,,,,,,,,,,43,
480.585532,clGetEventProfilingInfo|General,END,,,,,,,,,,,43,
480.649537,clReleaseMemObject|General,START,,,,,,,,,,,44,
480.709084,clReleaseMemObject|General,END,,,,,,,,,,,44,
480.757468,clReleaseMemObject|General,START,,,,,,,,,,,45,
480.809527,clReleaseMemObject|General,END,,,,,,,,,,,45,
480.856942,clReleaseMemObject|General,START,,,,,,,,,,,46,
480.908962,clReleaseMemObject|General,END,,,,,,,,,,,46,
480.955885,clReleaseMemObject|General,START,,,,,,,,,,,47,
481.005238,clReleaseMemObject|General,END,,,,,,,,,,,47,
481.051783,clReleaseMemObject|General,START,,,,,,,,,,,48,
481.105051,clReleaseMemObject|General,END,,,,,,,,,,,48,
481.156969,clReleaseProgram|General,START,,,,,,,,,,,49,
481.213144,clReleaseProgram|General,END,,,,,,,,,,,49,
481.266145,clReleaseKernel|General,START,,,,,,,,,,,50,
481.321906,clReleaseKernel|General,END,,,,,,,,,,,50,
481.37473,clReleaseCommandQueue|General,START,,,,,,,,,,,51,
481.431478,clReleaseCommandQueue|General,END,,,,,,,,,,,51,
481.485307,clReleaseContext|General,START,,,,,,,,,,,52,
481.544269,clReleaseContext|General,END,,,,,,,,,,,52,
391.7669149,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,START,,1,1,
399.1813092,KERNEL|edge-0|lsal|compute_matrices|1:1:1|compute_matrices_1,END,,1,1,
Footer,begin
Project,lsal,
Stall profiling,false,
Target,System Run,
Platform,edge-0,
Read/Write Thread,0XB3679440
Read/Write Thread,0XB3E7A440
Read/Write Thread,0XB467B440
Device,edge-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,edge-0,end
Footer,end

