Timeline Trace
Generated on: 2022-02-09 10:50:26
Msec since Epoch: 1644403826617
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
88.848898,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
89.045866,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
89.199889,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
89.25856,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
89.325088,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
89.381008,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
89.436106,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
89.484613,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
89.538547,clGetPlatformInfo|General,START,,,,,,,,,,,4,
89.592628,clGetPlatformInfo|General,END,,,,,,,,,,,4,
89.640283,clGetPlatformInfo|General,START,,,,,,,,,,,5,
89.688931,clGetPlatformInfo|General,END,,,,,,,,,,,5,
89.737252,clGetPlatformInfo|General,START,,,,,,,,,,,6,
89.78617,clGetPlatformInfo|General,END,,,,,,,,,,,6,
89.832514,clGetPlatformInfo|General,START,,,,,,,,,,,7,
89.93419,clGetPlatformInfo|General,END,,,,,,,,,,,7,
89.987668,clGetPlatformInfo|General,START,,,,,,,,,,,8,
90.040969,clGetPlatformInfo|General,END,,,,,,,,,,,8,
90.087604,clGetPlatformInfo|General,START,,,,,,,,,,,9,
90.135697,clGetPlatformInfo|General,END,,,,,,,,,,,9,
90.18208,clGetPlatformInfo|General,START,,,,,,,,,,,10,
90.230893,clGetPlatformInfo|General,END,,,,,,,,,,,10,
90.278071,clGetPlatformInfo|General,START,,,,,,,,,,,11,
90.325729,clGetPlatformInfo|General,END,,,,,,,,,,,11,
90.372997,clGetPlatformInfo|General,START,,,,,,,,,,,12,
90.423301,clGetPlatformInfo|General,END,,,,,,,,,,,12,
90.470092,clGetPlatformInfo|General,START,,,,,,,,,,,13,
90.517702,clGetPlatformInfo|General,END,,,,,,,,,,,13,
90.563479,clGetPlatformInfo|General,START,,,,,,,,,,,14,
90.610345,clGetPlatformInfo|General,END,,,,,,,,,,,14,
90.65644,clGetPlatformInfo|General,START,,,,,,,,,,,15,
90.703894,clGetPlatformInfo|General,END,,,,,,,,,,,15,
90.828838,clGetPlatformInfo|General,START,,,,,,,,,,,16,
90.890422,clGetPlatformInfo|General,END,,,,,,,,,,,16,
91.006831,clGetPlatformInfo|General,START,,,,,,,,,,,17,
91.062928,clGetPlatformInfo|General,END,,,,,,,,,,,17,
91.163134,clGetDeviceIDs|General,START,,,,,,,,,,,18,
91.248817,clGetDeviceIDs|General,END,,,,,,,,,,,18,
91.333651,clCreateContext|General,START,,,,,,,,,,,19,
91.815526,clCreateContext|General,END,,,,,,,,,,,19,
91.924048,clCreateCommandQueue|General,START,,,,,,,,,,,20,
92.000515,clCreateCommandQueue|General,END,,,,,,,,,,,20,
294.339966,clCreateProgramWithBinary|General,START,,,,,,,,,,,21,
343.587636,clCreateProgramWithBinary|General,END,,,,,,,,,,,21,
345.711541,clBuildProgram|General,START,,,,,,,,,,,22,
345.80512,clBuildProgram|General,END,,,,,,,,,,,22,
345.895669,clCreateKernel|General,START,,,,,,,,,,,23,
352.842733,clCreateKernel|General,END,,,,,,,,,,,23,
352.920832,clCreateBuffer|General,START,,,,,,,,,,,24,
352.991887,clCreateBuffer|General,END,,,,,,,,,,,24,
353.043931,clCreateBuffer|General,START,,,,,,,,,,,25,
353.10016,clCreateBuffer|General,END,,,,,,,,,,,25,
353.147428,clCreateBuffer|General,START,,,,,,,,,,,26,
353.203216,clCreateBuffer|General,END,,,,,,,,,,,26,
353.251369,clCreateBuffer|General,START,,,,,,,,,,,27,
353.30413,clCreateBuffer|General,END,,,,,,,,,,,27,
353.351332,clCreateBuffer|General,START,,,,,,,,,,,28,
353.407477,clCreateBuffer|General,END,,,,,,,,,,,28,
353.462551,clEnqueueWriteBuffer|5195056,START,,,,,,,,,,,29,
355.371559,clEnqueueWriteBuffer|5195056,END,,,,,,,,,,,29,
355.47619,clEnqueueWriteBuffer|5195056,START,,,,,,,,,,,30,
356.697226,clEnqueueWriteBuffer|5195056,END,,,,,,,,,,,30,
356.79415,clEnqueueWriteBuffer|5195056,START,,,,,,,,,,,31,
366.731068,clEnqueueWriteBuffer|5195056,END,,,,,,,,,,,31,
366.929785,clSetKernelArg|General,START,,,,,,,,,,,32,
367.019062,clSetKernelArg|General,END,,,,,,,,,,,32,
367.100923,clSetKernelArg|General,START,,,,,,,,,,,33,
367.16467,clSetKernelArg|General,END,,,,,,,,,,,33,
367.240312,clSetKernelArg|General,START,,,,,,,,,,,34,
367.680325,clSetKernelArg|General,END,,,,,,,,,,,34,
367.798627,clSetKernelArg|General,START,,,,,,,,,,,35,
367.866466,clSetKernelArg|General,END,,,,,,,,,,,35,
367.952995,clEnqueueTask|5195056,START,,,,,,,,,,,36,
368.083966,WRITE_BUFFER,QUEUE,0X16848000|Unknown,2164770,,,,,,,,,
368.168677,WRITE_BUFFER,SUBMIT,0X16848000|Unknown,2164770,,,,,,,,,
368.358415,DEPENDENCY_EVENT,,3,4,
368.376421,WRITE_BUFFER,START,0X16848000|Unknown|0Xb3488440,2164770,,,,,,,3,4,
368.601793,DEPENDENCY_EVENT,,3,4,
369.139672,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,QUEUE,0X4FF7B8,1,,,,,,,,,
369.290824,clEnqueueTask|5195056,END,,,,,,,,,,,36,
369.394105,clWaitForEvents|General,START,,,,,,,,,,,37,
373.213303,WRITE_BUFFER,END,0X16848000|Unknown|0Xb3488440,2164770,,,,,,,3,4|4,
373.569442,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,SUBMIT,0X4FF7B8,1,,,,,,,,,
373.654324,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,START,0X4FF7B8,1,,,,,,,4,None,
378.614983,KERNEL|edge-0|lsal|compute_matrices|1:1:1|all,END,0X4FF7B8,1,,,,,,,4,None,
379.06951,clWaitForEvents|General,END,,,,,,,,,,,37,
379.14913,clEnqueueReadBuffer|5195056,START,,,,,,,,,,,38,
379.245685,READ_BUFFER,QUEUE,0X16900000|Unknown,2099136,,,,,,,,,
379.320595,READ_BUFFER,SUBMIT,0X16900000|Unknown,2099136,,,,,,,,,
379.458448,READ_BUFFER,START,0X16900000|Unknown|0Xb4c8b440,2099136,,,,,,,5,None,
393.561829,READ_BUFFER,END,0X16900000|Unknown|0Xb4c8b440,2099136,,,,,,,5,None,
393.842821,clEnqueueReadBuffer|5195056,END,,,,,,,,,,,38,
393.936175,clEnqueueReadBuffer|5195056,START,,,,,,,,,,,39,
394.03063,READ_BUFFER,QUEUE,0X16849000|Unknown,4,,,,,,,,,
394.107517,READ_BUFFER,SUBMIT,0X16849000|Unknown,4,,,,,,,,,
394.254994,READ_BUFFER,START,0X16849000|Unknown|0Xb3c89440,4,,,,,,,6,None,
394.387645,READ_BUFFER,END,0X16849000|Unknown|0Xb3c89440,4,,,,,,,6,None,
394.513273,clEnqueueReadBuffer|5195056,END,,,,,,,,,,,39,
394.580504,clWaitForEvents|General,START,,,,,,,,,,,40,
394.637855,clWaitForEvents|General,END,,,,,,,,,,,40,
394.686803,clWaitForEvents|General,START,,,,,,,,,,,41,
