Profile Summary
Generated on: 2022-02-09 10:49:34
Msec since Epoch: 1644403774971
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,49.1689,49.1689,49.1689,49.1689,
clEnqueueReadBuffer,2,29.0024,0.591474,14.5012,28.4109,
clEnqueueWriteBuffer,3,21.9748,1.21715,7.32492,18.7905,
clWaitForEvents,3,15.206,0.052074,5.06865,15.0957,
clCreateKernel,1,7.14132,7.14132,7.14132,7.14132,
clEnqueueTask,1,1.24656,1.24656,1.24656,1.24656,
clGetPlatformInfo,14,0.736716,0.046635,0.0526226,0.08085,
clSetKernelArg,4,0.712008,0.063642,0.178002,0.491175,
clCreateContext,1,0.480135,0.480135,0.480135,0.480135,
clGetExtensionFunctionAddress,2,0.375381,0.15372,0.18769,0.221661,
clCreateBuffer,5,0.288477,0.052617,0.0576954,0.068157,
clReleaseMemObject,5,0.268227,0.049527,0.0536454,0.060183,
clGetExtensionFunctionAddressForPlatform,2,0.119976,0.05379,0.059988,0.066186,
clGetEventProfilingInfo,2,0.112626,0.053196,0.056313,0.05943,
clBuildProgram,1,0.094356,0.094356,0.094356,0.094356,
clCreateCommandQueue,1,0.07794,0.07794,0.07794,0.07794,
clGetDeviceIDs,1,0.065358,0.065358,0.065358,0.065358,
clReleaseProgram,1,0.058044,0.058044,0.058044,0.058044,
clReleaseContext,1,0.057927,0.057927,0.057927,0.057927,
clReleaseCommandQueue,1,0.057186,0.057186,0.057186,0.057186,
clReleaseKernel,1,0.056115,0.056115,0.056115,0.056115,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
compute_matrices,1,6.27076,6.27076,6.27076,6.27076,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,compute_matrices_1,compute_matrices,1:1:1,1:1:1,1,Yes,1,1.000000x,3.70962,3.70962,3.70962,3.70962,142,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,2,150.287796,1.565498,2101.19,27.962164,13.981082,
context0:1,WRITE,1,484.374954,5.045572,4268.1,8.811558,8.811558,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,READ,65601,1135.43,9.85619,0.064,584.699,
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,WRITE,65600,1135.48,9.85663,0.0639991,254.099,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,compute_matrices_1,131201,63.9995,1.56249,8.3968,4.19834,4.19846,1135.46,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
4855864,compute_matrices,0,0,edge-0,386.683,6.27076,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
377782272,0,0,377.427,8.811558,4268.1,484.374954,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
378535936,0,0,393.795,27.828937,4202.37,151.007133,
377786368,0,0,422.315,0.133227,0.004,0.030024,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,6.270759,
CU_CALLS,edge-0|compute_matrices_1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,compute_matrices_1/m_axi_gmem,512,
KERNEL_COUNT,compute_matrices,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,compute_matrices,1,
COMMAND_QUEUE_OOO,4810152,0,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,27.9622,
BUFFER_WR_ACTIVE_TIME_MS,all,8.81156,
BUFFER_TX_ACTIVE_TIME_MS,all,45.0205,
APPLICATION_RUN_TIME_MS,all,1440.91,
TOTAL_KERNEL_RUN_TIME_MS,all,6.27076,


