Profile Summary
Generated on: 2022-02-09 10:50:51
Msec since Epoch: 1644403851651
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,46.202,46.202,46.202,46.202,
clEnqueueReadBuffer,2,15.2518,0.647088,7.62592,14.6047,
clEnqueueWriteBuffer,3,13.6755,1.24777,4.5585,10.3417,
clWaitForEvents,3,8.4759,0.051432,2.8253,8.36541,
clCreateKernel,1,6.88778,6.88778,6.88778,6.88778,
clEnqueueTask,1,1.34709,1.34709,1.34709,1.34709,
clSetKernelArg,4,0.850287,0.063726,0.212572,0.624381,
clGetPlatformInfo,14,0.690849,0.04611,0.0493464,0.059412,
clGetExtensionFunctionAddress,2,0.362205,0.152244,0.181103,0.209961,
clCreateContext,1,0.326253,0.326253,0.326253,0.326253,
clCreateBuffer,5,0.286851,0.052677,0.0573702,0.067635,
clReleaseMemObject,5,0.265425,0.049473,0.053085,0.059688,
clGetExtensionFunctionAddressForPlatform,2,0.118641,0.052794,0.0593205,0.065847,
clGetEventProfilingInfo,2,0.111627,0.05154,0.0558135,0.060087,
clBuildProgram,1,0.10983,0.10983,0.10983,0.10983,
clGetDeviceIDs,1,0.083016,0.083016,0.083016,0.083016,
clCreateCommandQueue,1,0.074343,0.074343,0.074343,0.074343,
clReleaseContext,1,0.058191,0.058191,0.058191,0.058191,
clReleaseProgram,1,0.057732,0.057732,0.057732,0.057732,
clReleaseCommandQueue,1,0.057126,0.057126,0.057126,0.057126,
clReleaseKernel,1,0.054243,0.054243,0.054243,0.054243,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
compute_matrices,1,3.78776,3.78776,3.78776,3.78776,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,compute_matrices_1,compute_matrices,1:1:1,1:1:1,1,Yes,1,1.000000x,1.97873,1.97873,1.97873,1.97873,142,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,2,147.508962,1.536552,1049.57,14.230593,7.115296,
context0:1,WRITE,1,464.621086,4.839803,2164.77,4.659216,4.659216,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,READ,65569,1066.5,9.2578,0.032,451.734,
edge-0,compute_matrices_1/m_axi_gmem,All,DDR,WRITE,65568,1066.67,9.25929,0.0319996,218.334,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,compute_matrices_1,131137,31.9998,0.781245,4.19636,2.09815,2.09821,1066.58,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
5576632,compute_matrices,0,0,edge-0,112.753,3.78776,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
377782272,0,0,107.654,4.659216,2164.77,464.621086,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
378535936,0,0,117.378,14.036661,2099.14,149.546676,
377786368,0,0,132.089,0.193932,0.004,0.020626,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,3.787758,
CU_CALLS,edge-0|compute_matrices_1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,compute_matrices_1/m_axi_gmem,256,
KERNEL_COUNT,compute_matrices,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,compute_matrices,1,
COMMAND_QUEUE_OOO,5530920,0,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,14.2306,
BUFFER_WR_ACTIVE_TIME_MS,all,4.65922,
BUFFER_TX_ACTIVE_TIME_MS,all,24.629,
APPLICATION_RUN_TIME_MS,all,643.249,
TOTAL_KERNEL_RUN_TIME_MS,all,3.78776,


