Timeline Trace
Generated on: 2022-02-09 10:50:39
Msec since Epoch: 1644403839894
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
40.558744,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
40.667887,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
40.735357,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
40.786153,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
40.851241,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
40.905301,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
40.956982,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
41.004352,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
41.059759,clGetPlatformInfo|General,START,,,,,,,,,,,4,
41.115166,clGetPlatformInfo|General,END,,,,,,,,,,,4,
41.161888,clGetPlatformInfo|General,START,,,,,,,,,,,5,
41.210221,clGetPlatformInfo|General,END,,,,,,,,,,,5,
41.257507,clGetPlatformInfo|General,START,,,,,,,,,,,6,
41.306599,clGetPlatformInfo|General,END,,,,,,,,,,,6,
41.352379,clGetPlatformInfo|General,START,,,,,,,,,,,7,
41.398957,clGetPlatformInfo|General,END,,,,,,,,,,,7,
41.443675,clGetPlatformInfo|General,START,,,,,,,,,,,8,
41.493625,clGetPlatformInfo|General,END,,,,,,,,,,,8,
41.538733,clGetPlatformInfo|General,START,,,,,,,,,,,9,
41.58526,clGetPlatformInfo|General,END,,,,,,,,,,,9,
41.630881,clGetPlatformInfo|General,START,,,,,,,,,,,10,
41.676937,clGetPlatformInfo|General,END,,,,,,,,,,,10,
41.721463,clGetPlatformInfo|General,START,,,,,,,,,,,11,
41.768704,clGetPlatformInfo|General,END,,,,,,,,,,,11,
41.814517,clGetPlatformInfo|General,START,,,,,,,,,,,12,
41.864254,clGetPlatformInfo|General,END,,,,,,,,,,,12,
41.909476,clGetPlatformInfo|General,START,,,,,,,,,,,13,
41.956639,clGetPlatformInfo|General,END,,,,,,,,,,,13,
42.001636,clGetPlatformInfo|General,START,,,,,,,,,,,14,
42.048253,clGetPlatformInfo|General,END,,,,,,,,,,,14,
42.092587,clGetPlatformInfo|General,START,,,,,,,,,,,15,
42.138862,clGetPlatformInfo|General,END,,,,,,,,,,,15,
42.264877,clGetPlatformInfo|General,START,,,,,,,,,,,16,
42.326476,clGetPlatformInfo|General,END,,,,,,,,,,,16,
42.444892,clGetPlatformInfo|General,START,,,,,,,,,,,17,
42.500626,clGetPlatformInfo|General,END,,,,,,,,,,,17,
42.579955,clGetDeviceIDs|General,START,,,,,,,,,,,18,
42.702784,clGetDeviceIDs|General,END,,,,,,,,,,,18,
42.809632,clGetDeviceIDs|General,START,,,,,,,,,,,19,
42.889234,clGetDeviceIDs|General,END,,,,,,,,,,,19,
42.971017,clCreateContext|General,START,,,,,,,,,,,20,
43.360426,clCreateContext|General,END,,,,,,,,,,,20,
43.468285,clCreateCommandQueue|General,START,,,,,,,,,,,21,
43.543396,clCreateCommandQueue|General,END,,,,,,,,,,,21,
247.687814,clCreateProgramWithBinary|General,START,,,,,,,,,,,22,
299.506659,clCreateProgramWithBinary|General,END,,,,,,,,,,,22,
301.657872,clBuildProgram|General,START,,,,,,,,,,,23,
301.752399,clBuildProgram|General,END,,,,,,,,,,,23,
301.844115,clCreateKernel|General,START,,,,,,,,,,,24,
308.986234,clCreateKernel|General,END,,,,,,,,,,,24,
309.061984,clCreateBuffer|General,START,,,,,,,,,,,25,
309.133189,clCreateBuffer|General,END,,,,,,,,,,,25,
309.183922,clCreateBuffer|General,START,,,,,,,,,,,26,
309.242023,clCreateBuffer|General,END,,,,,,,,,,,26,
