date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,day_of_week,day_type,Appliances_lag_1,Appliances_lag_2,Appliances_lag_3,Appliances_rolling_mean,Appliances_rolling_std,hour,day,weekday,month,hour_sin,hour_cos,weekday_sin,weekday_cos,lag1_lag2_interaction,daily_mean,daily_sum,daily_min,daily_max
2016-01-12,40,10,21.39,44.56,20.79,43.863333333333294,20.2,45.6633333333333,20.6333333333333,46.79,19.2,50.53,5.59,88.6333333333333,17.7,43.76,19.39,51.1633333333333,16.89,45.7,5.3,736.9,92.0,6.0,22.0,4.1,39.14663811447098,39.14663811447098,1,Weekday,40.0,60.0,70.0,46.666666666666664,11.547005383792568,0,12,1,1,0.0,1.0,0.7818314824680298,0.6234898018587336,2400.0,76.83823529411765,10450.0,20.0,390.0
2016-01-13,50,0,19.4266666666667,43.2,18.7,43.09,19.89,44.9,19.0,43.59,17.29,51.4,5.86666666666667,82.56,17.84,42.495,18.7,51.63125,17.0,46.6633333333333,6.0,747.4,80.0,8.0,40.0,2.7,37.9051526193507,37.9051526193507,2,Weekday,50.0,50.0,40.0,50.0,0.0,0,13,2,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,2500.0,69.0,8280.0,20.0,400.0
2016-01-14,50,0,19.29,42.09,18.7,41.4,20.323333333333295,43.7,18.79,41.23,18.3566666666667,67.9966666666667,1.66666666666667,89.5,18.1,39.8266666666667,19.6,48.93,16.6666666666667,43.2,2.8,755.5,89.0,5.0,29.0,1.2,49.315579456742846,49.315579456742846,3,Weekday,40.0,40.0,50.0,43.333333333333336,5.773502691891925,0,14,3,1,0.0,1.0,0.43388373911755823,-0.900968867902419,1600.0,104.09448818897638,13220.0,20.0,400.0
2016-01-15,50,0,23.6666666666667,39.6633333333333,22.79,39.4666666666667,21.2,43.06,18.7,44.2,18.745,55.79,1.39,89.46666666666668,18.6,41.2666666666667,19.7,48.8266666666667,17.1,46.0,0.8,749.2999999999998,94.0,9.0,52.0,0.0,5.886030604597181,5.886030604597181,4,Weekday,40.0,40.0,30.0,43.333333333333336,5.773502691892398,0,15,4,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,1600.0,109.41176470588235,14880.0,30.0,400.0
2016-01-16,50,0,23.0,40.0,22.15,38.79,21.0,41.9,21.2,43.79,20.29,60.5933333333333,2.0,94.46666666666668,18.79,40.363333333333294,20.6,47.433333333333294,17.89,47.06,2.4,761.1,97.0,3.0,28.0,1.9,31.33274237625301,31.33274237625301,5,Weekend,50.0,60.0,60.0,53.333333333333336,5.773502691897014,0,16,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,3000.0,97.22689075630252,11570.0,20.0,390.0
2016-01-17,30,0,22.5,39.363333333333294,21.533333333333296,38.09,21.463333333333296,42.2,21.175,41.0675,18.6,52.79,0.4,96.3666666666667,19.7,38.9666666666667,21.4266666666667,46.06,17.7,41.73,0.5,764.5,96.0,2.0,20.0,0.0,43.34042912814766,43.34042912814766,6,Weekend,30.0,30.0,60.0,30.0,0.0,0,17,6,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,900.0,110.57851239669421,13380.0,30.0,400.0
2016-01-18,60,10,21.823333333333295,39.9,20.23,40.0,20.323333333333295,39.79,21.1666666666667,39.863333333333294,19.5,67.8933333333333,-4.65111111111111,88.81333333333329,20.26,36.69333333333329,21.7,44.4,17.6,38.4,-2.8,763.7,86.0,2.0,25.0,-4.9,2.9950120486319065,2.9950120486319065,0,Weekday,60.0,70.0,60.0,63.333333333333336,5.773502691897548,0,18,0,1,0.0,1.0,0.0,1.0,4200.0,53.38461538461539,6940.0,20.0,350.0
2016-01-19,50,20,20.39,39.09,19.2,39.23,20.0,40.3266666666667,20.29,38.26,17.5555555555556,65.2333333333333,-5.888888888888889,82.8161111111111,17.9755555555556,33.4833333333333,20.1,43.99375,16.89,39.09,-4.5,756.6,87.0,1.0,65.0,-6.3,2.302027412224561,2.302027412224561,1,Weekday,40.0,30.0,40.0,40.0,10.000000000001386,0,19,1,1,0.0,1.0,0.7818314824680298,0.6234898018587336,1200.0,62.51851851851852,8440.0,10.0,380.0
2016-01-20,40,0,19.79,38.7,18.89,39.09,19.2,39.09,18.5,37.53,17.79,53.33333333333329,-5.97777777777778,82.8922222222222,17.4633333333333,32.06,20.2,42.933333333333294,16.39,39.363333333333294,-4.5,758.7999999999998,94.0,1.0,60.0,-5.4,16.56897875946015,16.56897875946015,2,Weekday,40.0,50.0,40.0,43.333333333333336,5.773502691899958,0,20,2,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,2000.0,88.18897637795276,11200.0,20.0,400.0
2016-01-21,60,0,19.76,38.1266666666667,19.29,37.863333333333294,18.7,39.7,19.26,38.0,16.89,58.0,0.5999999999999999,96.76333333333329,16.2,33.4833333333333,19.705,45.1633333333333,15.89,40.5,0.0,761.7999999999998,88.0,2.0,61.0,-1.8,49.286445195320994,49.286445195320994,3,Weekday,50.0,50.0,50.0,53.333333333333336,5.7735026919005294,0,21,3,1,0.0,1.0,0.43388373911755823,-0.900968867902419,2500.0,68.10218978102189,9330.0,20.0,360.0
2016-01-22,40,0,20.5,36.9666666666667,19.7,36.59,19.6,40.1633333333333,17.0,38.0,17.7,43.5016666666667,-1.7,94.9,16.6666666666667,31.8894444444444,19.4938888888889,43.7,15.89,40.1633333333333,0.0,765.1,88.0,4.0,61.0,-1.7,4.543870710767806,4.543870710767806,4,Weekday,50.0,40.0,50.0,43.333333333333336,5.77350269190495,0,22,4,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,2000.0,45.69444444444444,6580.0,20.0,400.0
2016-01-23,40,0,17.6,41.26,16.6,41.79,17.89,40.26,15.6,40.9,15.7388888888889,48.5,4.56,99.69,15.89,36.3022222222222,17.0,44.015,15.39,40.59,4.5,763.0,100.0,5.0,8.0,4.5,0.3834297764115035,0.3834297764115035,5,Weekend,40.0,20.0,20.0,33.333333333333336,11.547005383795511,0,23,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,800.0,92.84482758620689,10770.0,10.0,280.0
2016-01-24,60,0,19.1,41.8266666666667,18.6,41.29,18.1,43.8266666666667,15.89,47.59,15.4205555555556,51.0794444444444,5.46666666666667,99.9,15.5666666666667,40.09,19.6,50.8,15.1,46.7,5.1,769.6,92.0,5.0,23.0,3.9,48.00580778392032,48.00580778392032,6,Weekend,80.0,80.0,70.0,73.33333333333333,11.547005383795794,0,24,6,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,6400.0,83.65384615384616,8700.0,20.0,390.0
2016-01-25,50,0,21.463333333333296,42.363333333333294,20.625,41.6175,20.29,44.2,18.1,47.09,18.3844444444444,58.0105555555556,8.39,99.9,16.25,44.168333333333294,18.3344444444444,50.015,16.29,49.7,8.0,767.0,95.0,2.0,62.0,7.2,32.93245215900242,32.93245215900242,0,Weekday,40.0,20.0,30.0,36.666666666666664,15.275252316523057,0,25,0,1,0.0,1.0,0.0,1.0,800.0,62.836879432624116,8860.0,20.0,390.0
2016-01-26,250,20,21.29,43.09,20.79,42.5,20.566666666666695,44.5,21.1333333333333,44.7666666666667,17.9144444444444,51.055,10.3666666666667,97.7666666666667,17.79,42.1572222222222,18.7,47.8877777777778,17.0,47.433333333333294,10.3,764.1,84.0,4.0,27.0,7.7,35.05453574471176,35.05453574471176,1,Weekday,370.0,130.0,80.0,250.0,120.00000000000038,0,26,1,1,0.0,1.0,0.7818314824680298,0.6234898018587336,48100.0,48.23076923076923,6270.0,20.0,380.0
2016-01-27,50,20,21.29,45.363333333333294,20.79,44.2,20.79,45.06,21.5,44.5,18.0,69.8916666666667,9.69,88.4333333333333,18.4938888888889,45.228888888888896,17.8677777777778,49.1755555555556,17.1,47.59,9.9,759.5,80.0,10.0,40.0,6.5,6.432882649824023,6.432882649824023,2,Weekday,90.0,40.0,40.0,60.0,26.45751311064882,0,27,2,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,3600.0,45.625,6570.0,20.0,390.0
2016-01-28,40,0,19.2,47.09,18.39,46.9,19.79,45.29,18.1,48.29,17.39,54.0,9.8,99.9,17.5333333333333,45.515,17.6,51.5,17.0,49.2,9.8,755.7999999999998,96.0,6.0,61.0,9.2,46.79275697562844,46.79275697562844,3,Weekday,40.0,40.0,50.0,40.0,0.0,0,28,3,1,0.0,1.0,0.43388373911755823,-0.900968867902419,1600.0,37.5,5400.0,10.0,50.0
2016-01-29,50,0,18.79,43.59,17.79,44.09,19.5,43.09,17.5,43.79,17.0,51.4611111111111,0.9,96.3966666666667,17.785,38.9,17.8344444444444,45.24,16.745,43.79,3.0,765.2,86.0,5.0,40.0,0.9,17.875329160597175,17.875329160597175,4,Weekday,40.0,40.0,40.0,43.333333333333336,5.773502691911861,0,29,4,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,1600.0,48.05555555555556,6920.0,10.0,110.0
2016-01-30,50,0,20.033333333333296,43.73,19.5,43.2,19.89,44.59,16.6,46.29,16.7,51.79,9.0,85.79999999999998,16.8066666666667,42.41666666666671,19.2,51.4544444444444,16.29,47.59,9.1,760.2,82.0,9.0,40.0,6.2,43.81286357529461,43.81286357529461,5,Weekend,50.0,60.0,80.0,53.333333333333336,5.7735026919115215,0,30,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,3000.0,77.82608695652173,7160.0,20.0,400.0
2016-01-31,50,0,21.6,42.09,20.823333333333295,41.23,20.79,44.59,18.7,42.933333333333294,18.4816666666667,52.83,3.76,99.3,17.0,39.4,20.79,50.1944444444444,16.5,47.2,4.5,754.7,87.0,5.0,29.0,2.5,20.32128218561411,20.32128218561411,6,Weekend,40.0,40.0,40.0,43.333333333333336,5.773502691912002,0,31,6,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,1600.0,84.5945945945946,9390.0,20.0,400.0
2016-02-01,40,20,22.23,46.433333333333294,21.29,46.1266666666667,21.7,46.5,19.29,49.7,20.0944444444444,53.103333333333296,11.39,99.9,18.9816666666667,50.145,21.7,55.1522222222222,17.29,51.7,11.5,755.5,94.0,8.0,27.0,10.5,36.003943893592805,36.003943893592805,0,Weekday,50.0,60.0,50.0,50.0,10.000000000008217,0,1,0,2,0.0,1.0,0.0,1.0,3000.0,136.1904761904762,11440.0,20.0,390.0
2016-02-02,70,20,22.9266666666667,45.26,22.033333333333296,44.29,23.2,45.26,21.5,48.9,20.29,62.2588888888889,10.19,99.76333333333329,18.8066666666667,45.715,20.9266666666667,55.3105555555556,17.89,50.4666666666667,10.2,759.6,95.0,9.0,61.0,9.4,43.522164027672254,43.522164027672254,1,Weekday,50.0,50.0,60.0,56.666666666666664,11.547005383802562,0,2,1,2,0.0,1.0,0.7818314824680298,0.6234898018587336,2500.0,60.215053763440864,5600.0,30.0,180.0
2016-02-04,30,0,22.2,43.06,21.39,42.09,22.6,43.9666666666667,20.79,42.26,19.2,61.97166666666671,2.8333333333333295,84.32666666666668,18.6,37.72,23.0944444444444,45.8244444444444,18.29,45.1566666666667,3.2,765.2999999999998,88.0,2.0,40.0,1.3,44.09789189230651,44.09789189230651,3,Weekday,50.0,60.0,70.0,46.666666666666664,15.275252316528347,0,4,3,2,0.0,1.0,0.43388373911755823,-0.900968867902419,3000.0,80.96491228070175,9230.0,20.0,350.0
2016-02-05,60,20,22.39,44.0,21.6,43.0,21.9877777777778,44.2,21.1333333333333,46.26,19.183333333333305,71.925,7.9,96.06,18.4816666666667,41.0811111111111,21.351111111111095,52.7733333333333,18.29,46.9,7.3,765.2,93.0,2.0,23.0,6.3,19.21143812360242,19.21143812360242,4,Weekday,70.0,50.0,50.0,60.0,10.0000000000155,0,5,4,2,0.0,1.0,-0.433883739117558,-0.9009688679024191,3500.0,58.36879432624114,8230.0,20.0,370.0
2016-02-06,60,0,22.29,45.06,21.6666666666667,43.5,22.6,45.29,20.2,47.79,18.71,56.29,9.19,88.9,18.6,43.25,20.89,53.4833333333333,18.7,49.29,9.3,757.2999999999998,85.0,5.0,40.0,6.8,41.981312108691775,41.981312108691775,5,Weekend,50.0,40.0,30.0,50.0,10.00000000001633,0,6,5,2,0.0,1.0,-0.9749279121818236,-0.2225209339563146,2000.0,75.73770491803279,9240.0,20.0,370.0
2016-02-07,20,0,22.79,43.1633333333333,22.1333333333333,42.76,21.6666666666667,44.76,19.1666666666667,44.4,19.378888888888895,64.5238888888889,10.4633333333333,61.83,18.79,39.9611111111111,22.3961111111111,50.58333333333329,19.0,48.06,10.6,742.6,66.0,9.0,40.0,4.5,9.391108318232,9.391108318232,6,Weekend,30.0,60.0,80.0,36.666666666666664,20.81665999466959,0,7,6,2,0.0,1.0,-0.7818314824680299,0.6234898018587334,1800.0,76.07692307692308,9890.0,20.0,390.0
2016-02-09,50,0,23.025,42.475,22.39,41.26,23.5,42.79,21.7,44.09,20.9022222222222,49.58333333333329,6.1233333333333295,75.48999999999998,19.1388888888889,36.9611111111111,22.255,48.0255555555556,18.89,43.03,6.4,744.7,80.0,11.0,22.0,3.2,1.5919791534543035,1.5919791534543035,1,Weekday,50.0,60.0,60.0,53.333333333333336,5.773502691925647,0,9,1,2,0.0,1.0,0.7818314824680298,0.6234898018587336,3000.0,89.22330097087378,9190.0,30.0,360.0
2016-02-10,70,0,22.5,42.73,21.76,40.59,22.6,43.4,19.1,40.76,19.29,50.645,2.1566666666666694,92.12333333333329,20.1,39.8572222222222,23.2,45.69,18.89,42.933333333333294,3.0,738.7,88.0,6.0,40.0,1.2,4.365795757621528,4.365795757621528,2,Weekday,70.0,80.0,70.0,73.33333333333333,5.773502691923263,0,10,2,2,0.0,1.0,0.9749279121818236,-0.22252093395631434,5600.0,83.58974358974359,9780.0,50.0,360.0
2016-02-12,70,0,22.2,41.29,21.323333333333295,40.4666666666667,21.5,42.7,20.7,41.73,19.3122222222222,56.433333333333294,2.9,92.0,20.1055555555556,39.63888888888889,23.2,47.6322222222222,18.6,43.09,3.0,748.1,95.0,3.0,25.0,2.2,19.982667651493102,19.982667651493102,4,Weekday,60.0,60.0,60.0,63.333333333333336,5.773502691926442,0,12,4,2,0.0,1.0,-0.433883739117558,-0.9009688679024191,3600.0,102.41666666666667,12290.0,20.0,400.0
2016-02-15,60,0,20.7,41.1633333333333,18.9266666666667,41.29,20.2,41.7,19.2,40.5,18.79,71.1294444444444,2.7,90.56333333333329,19.4755555555556,36.8911111111111,22.22,42.7805555555556,17.7,41.1266666666667,2.6,746.9,92.0,5.0,24.0,1.4,3.7036955123767257,3.7036955123767257,0,Weekday,60.0,50.0,30.0,56.666666666666664,5.773502691923632,0,15,0,2,0.0,1.0,0.0,1.0,3000.0,101.7094017094017,11900.0,30.0,380.0
2016-02-17,60,0,21.76,34.86,19.5,35.4333333333333,20.5,37.09,19.89,34.79,19.463333333333296,58.0933333333333,-4.46666666666667,76.29999999999998,19.6,27.9266666666667,21.89,38.723333333333294,18.2,39.06,-3.0,768.4,88.0,1.0,64.0,-4.8,37.701483676210046,37.701483676210046,2,Weekday,60.0,60.0,60.0,60.0,0.0,0,17,2,2,0.0,1.0,0.9749279121818236,-0.22252093395631434,3600.0,65.5072463768116,9040.0,20.0,180.0
